244	BDCOM	22	22.4	22	22	22.1	-0.1	96	1.0980	49,703
245	RAKCERAMIC	18.2	18.5	18.1	18.2	18.5	-0.3	145	1.0800	59,292
246	EBL1STMF	4.2	4.3	4.1	4.2	4.2	0	42	1.0590	251,861
247	AOL	13.9	14.3	13.8	13.9	14.1	-0.2	57	1.0390	74,715
248	SIPLC	41.8	42.5	41.4	41.8	41.4	0.4	147	1.0210	24,338
249	MATINSPINN	42.7	43.3	42.6	42.7	43.1	-0.4	126	1.0070	23,481
250	BDFINANCE	8.1	8.2	7.8	8	8.1	0	70	0.9990	125,268
251	PIONEERINS	35.7	35.8	35.5	35.5	35.5	0.2	84	0.9960	28,012
252	SILVAPHL	9.7	10.2	9.7	9.8	9.9	-0.2	77	0.9670	97,075
253	BANGAS	85.5	86	85.3	85.5	85.5	0	84	0.9590	11,205
254	BNICL	35.1	35.9	35	35.2	35.9	-0.8	94	0.9580	27,169
255	ARAMITCEM	11.8	12.4	11.6	11.8	12.3	-0.5	130	0.9440	79,394
256	BAYLEASING	4.9	5.2	4.8	4.9	5	-0.1	69	0.9430	189,309
257	HAMI	104.5	105.5	102	104.5	105	-0.5	40	0.9410	8,949
258	ICBAMCL2ND	6.2	6.3	5.8	6	6.2	0	75	0.9250	155,044
259	ICICL	19.9	20.2	19.8	19.9	19.8	0.1	93	0.9230	46,104
260	EMERALDOIL	20.5	20.9	19.7	20.2	20.4	0.1	145	0.9230	45,873
261	DUTCHBANGL	38.3	38.5	38.1	38.3	38.2	0.1	85	0.9220	24,110
262	SEMLFBSLGF	5.4	5.5	5.3	5.4	5.4	0	38	0.9130	169,469
263	BATASHOE	827	841.2	827	827.6	859.6	-32.6	123	0.9130	1,097
264	PRIMEBANK	21.8	22.2	21.7	21.8	22	-0.2	66	0.9080	41,595
265	SUMITPOWER	13.5	13.6	13.4	13.5	13.5	0	136	0.8830	65,355
266	RECKITTBEN	3	3,288	3,260.1	3,281.9	3	21.9	79	0.8720	266
